ID,Lat,Lon,Archive,Proxy,minYear,maxYear,Resolution,Publication,Data Citation,inComposites
Ocn_142,23.504,-76.577,sclerosponge,d18O,1890,1990,  1,rosenheim2005salinity,rosenheim2005ocean2khrDataCitation,no
Ocn_143,23.504,-76.577,sclerosponge,Sr/Ca,1890,1990,  1,rosenheim2005salinity,rosenheim2005ocean2khrDataCitation,no
Ocn_144,30.0867,-64.5417,coral,d18O,1856,1920,  3,draschba2000north,draschba2000ocean2khrDataCitation,no
Ocn_145,30.0867,-64.5417,coral,d18O,1833,1904,  3,draschba2000north,draschba2000ocean2khrDataCitation,yes
Ocn_146,16.76,-22.8883,coral,d18O,1929,2002,<1,moses2006evidence,moses2009ocean2khrDataCitation,no
Ocn_147,11.77,-66.75,coral,d18O,1918,2005,<1,hetzinger2008caribbean,hetzinger2012ocean2khrDataCitation,no
Ocn_148,43.6561,-69.8017,bivalve,d18O,1033,2003,  1,wanamaker2007coupled,wanamaker2008ocean2khrDataCitation,yes
Ocn_149,18.4667,-77.95,sclerosponge,d18O,1344,1991,  3,haase2003sr,haase2003ocean2khrDataCitation,yes
Ocn_150,18.4667,-77.95,sclerosponge,Sr/Ca,1356,1991,  3,haase2003sr,haase2003ocean2khrDataCitation,yes
Ocn_151,17.5333,-78.95,sclerosponge,d18O,1389,1992,  5,haase2003sr,haase2003ocean2khrDataCitation,no
Ocn_152,17.5333,-78.95,sclerosponge,Sr/Ca,1384,1992,  5,haase2003sr,haase2003ocean2khrDataCitation,no
Ocn_153,-28.4609,113.772,coral,Sr/Ca,1798,2010,  1,zinke2014corals,zinke2014ocean2khrDataCitation,yes
Ocn_154,-28.4589,113.749,coral,d18O,1848,2010,  1,zinke2014corals,zinke2014ocean2khrDataCitation,yes
Ocn_155,-28.4589,113.749,coral,Sr/Ca,1848,2010,  1,zinke2014corals,zinke2014ocean2khrDataCitation,yes
Ocn_156,-23.15,43.58,coral,d18O,1882,1994,  1,zinke2014madagascar,zinke2014ocean2khrDataCitation,no
Ocn_157,-23.3572,43.6195,coral,d18O,1905,1994,  1,zinke2014madagascar,zinke2014ocean2khrDataCitation,no
Ocn_158,-28.4667,113.7667,coral,calcification,1900,2010,  1,cooper2012growth,cooper2016ocean2khrDataCitation,no
Ocn_159,10.2773,-109.2131,coral,Sr/Ca,1935,1994,<1,wu2014investigation,wu2014ocean2khrDataCitation,no
Ocn_160,10.2773,-109.2131,coral,Sr/Ca,1894,1994,<1,wu2014investigation,wu2014ocean2khrDataCitation,no
Ocn_161,10.2773,-109.2131,coral,Sr/Ca,1942,1994,<1,wu2014investigation,wu2014ocean2khrDataCitation,no
Ocn_162,10.2773,-109.2131,coral,d18O,1874,1957,<1,wu2014investigation,wu2014ocean2khrDataCitation,no
Ocn_163,10.2773,-109.2131,coral,Sr/Ca,1874,1957,<1,wu2014investigation,wu2014ocean2khrDataCitation,no
Ocn_164,-17.73,148.43,coral,d18O,1708,1988,  5,calvo2007interdecadal,calvo2007ocean2khrDataCitation,yes
Ocn_165,-17.73,148.43,coral,Sr/Ca,1708,1988,  5,calvo2007interdecadal,calvo2007ocean2khrDataCitation,yes
Ocn_166,-5.22,145.82,coral,d18O,1923,1991,<1,tudhope1995recent,tudhope1995ocean2khrDataCitation,no
Ocn_167,16.85,112.33,coral,Sr/Ca,1906,1994,<1,sun2004strontium,sun2004ocean2khrDataCitation,no
Ocn_168,11.17,-60.85,coral,d18O,1927,1990,  1,moses2006stable,moses2006ocean2khrDataCitation,no
Ocn_169,11.17,-60.85,coral,d18O,1932,1990,  1,moses2006stable,moses2006ocean2khrDataCitation,no
Ocn_170,-21.8333,114.1833,coral,calcification,1900,2010,  1,cooper2012growth,cooper2016ocean2khrDataCitation,no
Ocn_171,-17.2667,119.3667,coral,calcification,1900,2010,  1,cooper2012growth,cooper2016ocean2khrDataCitation,no
Ocn_172,-23.0333,113.8167,coral,calcification,1900,2010,  1,cooper2012growth,cooper2016ocean2khrDataCitation,no
Ocn_173,-17.5167,118.9667,coral,calcification,1900,2010,  1,cooper2012growth,cooper2016ocean2khrDataCitation,no
Ocn_174,-21.9,113.9667,coral,calcification,1900,2010,  1,cooper2012growth,cooper2016ocean2khrDataCitation,no
Ocn_175,-16.7167,146.0333,coral,d18O,1807,2004,  5,wei2009evidence,wei2010ocean2khrDataCitation,yes
Ocn_176,-16.7167,146.0333,coral,Sr/Ca,1807,2004,  5,wei2009evidence,wei2010ocean2khrDataCitation,yes
Ocn_177,1.6792,-157.2473,coral,d18O,1938,1994,<1,evans1998a,evans1998ocean2khrDataCitation,no
Ocn_178,-21.2378,-159.8278,coral,d18O,1907,2000,<1,linsley2006tracking,linsley2000ocean2khrDataCitation,no
Ocn_179,7.2708,134.3837,coral,d18O,1899,2008,<1,osborne2014a,osborne2014ocean2khrDataCitation,no
Ocn_180,7.2859,134.2503,coral,d18O,1793,2008,<1,osborne2014a,osborne2014ocean2khrDataCitation,yes
Ocn_181,-15.7,167.2,coral,d18O,1929,1992,<1,kilbourne2004el,kilbourne2007ocean2khrDataCitation,no
Ocn_182,-15.7,167.2,coral,Sr/Ca,1929,1992,<1,kilbourne2004el,kilbourne2007ocean2khrDataCitation,no
Ocn_183,-18.315,146.595,coral,Coral Sr/Ca,1568,1983,  5,hendy2002abrupt,,no
SAm_003,-33.85,-70.92,lake sediment,reflectance,856,1997,  1,von2009a,von2013samDataCitation,yes
SAm_006,-40.1,-72.05,tree,TRW,1492,1995,  1,neukom2011inter,pages2013samDataCitation,yes
SAm_024,-38.5,-71.5,tree,TRW,1436,2006,  1,neukom2014inter,villalba2013samDataCitation,yes
SAm_025,-39.33,-71.25,tree,TRW,1636,2006,  1,neukom2014inter,mundo2013samDataCitation,yes
SAm_026,-13.9333,-70.8333,glacier ice,d18O,226,2009,  1,thompson2013annually,thompson2013samDataCitation,yes
SAm_029,-41.17,-71.92,tree,TRW,1582,1991,  1,neukom2014multiproxy,neukom2014samDataCitation,yes
SAm_030,-32.2667,-70.5,lake sediment,reflectance,-1161,2005,  1,de2013late,de2016samDataCitation,yes
SAm_031,-45.5167,-71.8167,lake sediment,BSi,400,2008,  1,elbert2013late,elbert2012samDataCitation,yes
